INCIDENT_KEY,_addr,_desc,INC_DATE
AZ_08293_01102020_20839_0,1133 W BASELINE RD Tempe AZ 85283,"Number of Residential Units: 0.0
Area of Origin: Undetermined
Heat Source: Undetermined
Item First Ignited: Undetermined
Cause of Ignition: Cause under investigation
Factors Contributing To Ignition #1: Undetermined
Fire Spread: Confined to room of origin
Structure Type: Enclosed building
Structure Status: In normal use
Building Height: Stories Above Grade: 3.0
Building Height: Stories Below Grade: 0.0
Total Square Feet: 800.0
Fire Origin (starting story): 2.0
Detector Presence: Detectors Present
Detector Type: Smoke
Detector Power: Hardwire with battery
Detector Operation: Operated
Detector Effectiveness: No occupants
AES Presence: None Present",2020-01-10
AZ_08293_01302020_202468_0,5250 S HARDY DR Tempe AZ 85283,"Number of Residential Units: 4.0
Number of Buildings Involved: 1.0
Area of Origin: Multiple areas
Heat Source: Undetermined
Item First Ignited: Multiple items first ignited
Type of Material: Multiple types of material
Cause of Ignition: Cause undetermined after investigation
Factors Contributing To Ignition #1: Undetermined
Human Factors #2: Possibly impaired by alcohol or drugs
Fire Spread: Confined to building of origin
Structure Type: Enclosed building
Structure Status: In normal use
Building Height: Stories Above Grade: 2.0
Building Height: Stories Below Grade: 0.0
Total Square Feet: 4370.0
Fire Origin (starting story): 1.0
Item Contributing Most to Spread: Multiple items first ignited
Type Material Contributing Most To Spread: Cardboard
Detector Presence: Detectors Present
Detector Type: Smoke
Detector Power: Hardwire with battery
Detector Operation: Operated
Detector Effectiveness: Alerted Occupants
AES Presence: None Present",2020-01-30
AZ_08293_01312020_202554_0,607 W 19TH ST Tempe AZ 85281,"Number of Residential Units: 10.0
Acres Burned: 0.0
Area of Origin: Outside area, other
Heat Source: Heat from other open flame or smoking materials
Item First Ignited: Light vegetation - not crop, including grass
Confined To Origin: Fire Spread was Confined to Object of Origin
Cause of Ignition: Intentional",2020-01-31
AZ_08293_01312020_202523_0,323 E VETERANS Tempe AZ 85281,"Number of Residential Units: 400.0
Area of Origin: Bedroom - < 5 persons; included are jail or prison
Heat Source: Hot ember or ash
Item First Ignited: Rubbish, trash, or waste
Confined To Origin: Fire Spread was Confined to Object of Origin
Type of Material: Paper, including cellulose, waxed paper
Cause of Ignition: Unintentional
Fire Spread: Confined to object of origin
Structure Type: Enclosed building
Structure Status: In normal use
Building Height: Stories Above Grade: 19.0
Building Height: Stories Below Grade: 0.0
Total Square Feet: 7000.0
Fire Origin (starting story): 7.0
Detector Presence: Detectors Present
Detector Type: Smoke
Detector Power: Hardwire with battery
Detector Operation: Operated
Detector Effectiveness: Alerted Occupants
AES Presence: Present
AES Type: Wet pipe sprinkler
AES Operation: Fire too small to Operate",2020-01-31
AZ_08293_01312020_202507_0,1210 E GILBERT DR Tempe AZ 85281,"Number of Residential Units: 1.0
Area of Origin: Undetermined
Heat Source: Undetermined
Item First Ignited: Undetermined
Cause of Ignition: Cause undetermined after investigation
Factors Contributing To Ignition #1: Other factor contributed to ignition
Human Factors #6: Multiple persons involved",2020-01-31
AZ_08293_02012020_202640_0,1332 S ROCKFORD DR Tempe AZ 85281,"Not Residential Flag: Y
Number of Buildings Involved: 0.0
Less Than One Acre: Y
Area of Origin: Outside area, other
Heat Source: Arcing
Item First Ignited: Light vegetation - not crop, including grass
Confined To Origin: Fire Spread was Confined to Object of Origin
Cause of Ignition: Unintentional
Factors Contributing To Ignition #1: Equipment unattended",2020-02-01
AZ_08293_02032020_202853_0,920 S TERRACE RD Tempe AZ 85281,"On Site Materials #1: Undetermined
Area of Origin: Exterior, exposed surface
Heat Source: Undetermined
Item First Ignited: Undetermined
Confined To Origin: Fire Spread was Confined to Object of Origin
Type of Material: Paint, varnish - applied
Cause of Ignition: Intentional
Factors Contributing To Ignition #1: Outside/open fire for debris or waste disposal
Human Factors #3: Unattended or unsupervised person",2020-02-03
AZ_08293_02052020_203008_0,1625 E WEATHERVANE LN Tempe AZ 85283,"Number of Residential Units: 1.0
Number of Buildings Involved: 1.0
Area of Origin: Courtyard, patio, porch, terrace
Heat Source: Cigarette
Item First Ignited: Rubbish, trash, or waste
Type of Material: Type of material first ignited, other
Cause of Ignition: Unintentional
Factors Contributing To Ignition #1: Other factor contributed to ignition
Fire Spread: Confined to room of origin
Structure Type: Enclosed building
Structure Status: In normal use
Building Height: Stories Above Grade: 2.0
Building Height: Stories Below Grade: 0.0
Total Square Feet: 1000.0
Fire Origin (starting story): 1.0
Item Contributing Most to Spread: Multiple items first ignited
Type Material Contributing Most To Spread: Undetermined
Detector Presence: Detectors Present
Detector Type: Smoke
Detector Power: Hardwire with battery
Detector Operation: Fire too small to operate
AES Presence: None Present",2020-02-05
AZ_08293_02062020_203075_0,2400 W SOUTHERN AVE Tempe AZ 85282,"On Site Materials #1: Baked goods
Area of Origin: Equipment or service area, other
Heat Source: Heat from powered equipment, other
Item First Ignited: Item First Ignited, Other
Type of Material: Plastic
Cause of Ignition: Failure of equipment or heat source
Fire Spread: Confined to room of origin
Structure Type: Enclosed building
Structure Status: In normal use
Building Height: Stories Above Grade: 1.0
Building Height: Stories Below Grade: 0.0
Total Square Feet: 100.0
Fire Origin (starting story): 1.0
Detector Presence: None Present
AES Presence: None Present",2020-02-06
AZ_08293_02072020_203161_0,525 S FOREST AVE Tempe AZ 85281,"Number of Residential Units: 80.0
Number of Buildings Involved: 1.0
Area of Origin: Cooking area, kitchen
Heat Source: Radiated, conducted heat from operating equipment
Item First Ignited: Cooking materials, including edible materials
Type of Material: Cooking oil, transformer or lubricating oil
Cause of Ignition: Unintentional
Fire Spread: Confined to room of origin
Structure Type: Enclosed building
Structure Status: In normal use
Building Height: Stories Above Grade: 8.0
Building Height: Stories Below Grade: 0.0
Total Square Feet: 15000.0
Fire Origin (starting story): 8.0
Item Contributing Most to Spread: Cabinetry (including built-in)
Type Material Contributing Most To Spread: Sawn wood, including all finished lumber
Detector Presence: Detectors Present
Detector Type: More than 1 type present
Detector Power: Hardwire with battery
Detector Operation: Operated
Detector Effectiveness: Alerted Occupants
AES Presence: Present
AES Type: Wet pipe sprinkler
AES Operation: Operated and Effective
Number of Sprinklers Operating: 1.0",2020-02-07
AZ_08293_02082020_203225_0,995 E BASELINE RD Tempe AZ 85283,"Not Residential Flag: Y
Area of Origin: Chute/container - trash, rubbish, waste
Heat Source: Undetermined
Item First Ignited: Undetermined
Cause of Ignition: Cause undetermined after investigation",2020-02-08
AZ_08293_02102020_203438_0,909 W GROVE Tempe AZ 85283,"Area of Origin: Outside area, other
Heat Source: Undetermined
Item First Ignited: Undetermined
Cause of Ignition: Cause undetermined after investigation
Factors Contributing To Ignition #1: Undetermined",2020-02-10
AZ_08293_02132020_203683_0,1850 E ENCANTO DR Tempe AZ 85281,"Not Residential Flag: Y
Number of Buildings Involved: 0.0
Area of Origin: Railroad right of way: on or near
Heat Source: Heat from other open flame or smoking materials
Item First Ignited: Item First Ignited, Other
Type of Material: Flammable gas, other
Cause of Ignition: Intentional
Factors Contributing To Ignition #1: Other factor contributed to ignition
Human Factors #2: Possibly impaired by alcohol or drugs",2020-02-13
AZ_08293_02142020_203854_0,54 W 1ST ST Tempe AZ 85281,"On Site Materials #1: Undetermined
Area of Origin: Undetermined
Heat Source: Undetermined
Item First Ignited: Undetermined
Cause of Ignition: Cause undetermined after investigation
Factors Contributing To Ignition #1: Undetermined
Structure Type: Structure type, other",2020-02-14
AZ_08293_02152020_203951_0,15 S MCCLINTOCK DR Tempe AZ 85281,"Area of Origin: Highway, parking lot, street: on or near
Heat Source: Heat source: other
Item First Ignited: Rubbish, trash, or waste
Cause of Ignition: Cause undetermined after investigation
Factors Contributing To Ignition #1: Abandoned or discarded materials or products
Human Factors #3: Unattended or unsupervised person",2020-02-15
AZ_08293_02172020_204112_0,1150 W UNIVERSITY DR Tempe AZ 85281,"Not Residential Flag: Y
Area of Origin: Undetermined
Heat Source: Undetermined
Item First Ignited: Undetermined
Cause of Ignition: Cause undetermined after investigation",2020-02-17
